m1,m2,x1_0,x2_0,v1_0,v2_0,t,x1_t,x2_t
9.942302031902791,0.3837970759349234,"[-4.102129504206811, -9.160779436585427]","[9.156982644159434, 4.575217493690838]","[0.10499575703993713, 4.7242485456686865]","[-0.9453080420475821, -0.8549362728005647]",6.676580977704323,"[-3.3558642087401935, 22.380195849940048]","[1.673283226010746, -1.1107448083192901]"
1.255284958962543,6.8474953820918545,"[8.617323191931646, 4.855408354171901]","[2.649052947817996, 1.0670689152344632]","[-4.570403388385456, 0.6399524274013766]","[1.4550833574453224, 3.1188237156141305]",5.753745212738776,"[-13.661345168374101, 1.5106285458268018]","[10.284601677616683, 20.300159961347305]"
5.47004432956877,9.427664829196766,"[-0.07779884442423679, -8.955303742757863]","[5.856605742048428, -7.278578673044653]","[1.9292006614914756, -4.205152172091186]","[-4.679916792659142, -0.36183101354161895]",4.783849545918328,"[9.701720036279177, -27.193522007650383]","[-16.850826433861616, -10.099508363707912]"
8.223270839698268,3.7966855408246074,"[-6.694394543584732, 6.871592742442058]","[-3.9031429122353067, 7.424511741099824]","[2.7771172399327115, -1.3395780276583125]","[0.6447523192251481, -0.8169403888834514]",44.18805699013744,"[86.14933298356499, -44.10063290010215]","[89.28653002129495, -46.48069461424443]"
8.314666772606158,0.4646989133922381,"[-6.5233456394406115, 9.181492360131042]","[4.043499093074184, -5.151376326655194]","[0.5845813349882656, -2.3142296769629054]","[0.8900342041890719, 0.592844480217857]",23.497467328976626,"[7.638147022511624, -45.18656983135794]","[17.34711864558345, 8.59155987805713]"
3.3434007788297957,4.2114649559543516,"[-3.5089774134512375, -3.389226353212491]","[1.7566561271975871, -8.50387552286729]","[1.1763865124782589, -4.261980281063627]","[-4.892873626597063, -3.2842999168947973]",17.31417298625401,"[14.839012920504928, -81.6885424946316]","[-81.3556308566503, -61.79106811344015]"
2.2812855713465505,1.9371815949785687,"[-3.9067997479208083, 3.774069380558874]","[-4.849099984097944, 4.519299556149273]","[-4.6276119528230675, 3.2151495092460873]","[3.6037646066610804, 3.3209628604299404]",7.268839635433482,"[-35.93833009930862, 31.156620321229045]","[19.45500104823648, 23.934019006481332]"
4.554381899586834,7.889119840496442,"[-2.2403178317998425, 7.58090359262933]","[2.430189292027938, 4.03418673584037]","[4.271463629313413, 4.413714118040025]","[-4.8633594416644135, -0.7964123310582139]",25.481382644006764,"[106.37426921482803, 114.31015227368239]","[-121.36318690890633, -12.946791084120708]"
5.862645843422713,1.4229524544942482,"[5.004859821363317, -6.179014447725654]","[-9.794843079216847, -7.412970681447892]","[2.48611800360003, 0.11248597464630716]","[4.185539354344044, -4.114438786019422]",22.650261351922694,"[60.90660011653867, -4.1027864849728735]","[86.69580753600374, -98.66302931620558]"
5.073150555762279,5.482984307774681,"[-0.14280552966408955, 0.9791052950419115]","[8.745887980604813, 6.699933003473038]","[3.8926476684621996, -1.8157127728482725]","[1.4227566893883257, -0.04172325945410904]",36.478229013117605,"[142.76523032966765, -55.531712080259794]","[59.80249429285823, -3.8184539736004988]"
3.8914251460189653,5.9285239937701775,"[6.726972534401575, -3.47675539026908]","[2.8227600293290713, 8.054888639522101]","[0.2418720376504151, -4.383182815046155]","[-4.463366471492792, -4.65329311804436]",14.352172041273752,"[9.241518775002099, -65.48574427940038]","[-60.60818116384512, -59.32020408773104]"
3.9454846609774137,8.349805418350389,"[-5.160359331041264, 2.1609272038409717]","[9.240335946162038, -1.743688067724099]","[-4.058356384605025, -0.5357693932810994]","[2.135601125253947, 1.2872643545939315]",16.100076567061922,"[-69.46797027930715, -6.521761973480674]","[43.13592040003464, 19.00818750996019]"
9.3535061507426,4.066575833522922,"[9.670422829000266, -9.32980682306787]","[-0.8806022604881711, -3.2749437303294044]","[3.8399134183371597, 4.83332913760408]","[3.9816927124576935, 4.270874536936335]",16.729698986353522,"[72.75803907737318, 67.93662996137131]","[68.383879066797, 76.44136004204006]"
